perc_change,high_perc,low_perc,age,liq,mcap,vol,m5,h1,h6,h24,watch_start_time,watch_end_time,watch_id
47.53,60.20,0.00,16,57000.00,270000.00,738000.00,10.51,300.00,300.00,300.00,2025-07-16 03:48:30,2025-07-16 03:58:31,61c250a0-fece-469d-a19b-3ef580fca074
-32.64,2.88,-35.96,28,71000.00,403000.00,1400000.00,25.59,495.00,495.00,495.00,2025-07-16 04:00:05,2025-07-16 04:10:06,77954c4f-7679-4ed6-a406-452c535ceff5
4.14,7.79,-10.44,240,193000.00,4700000.00,1000000.00,-6.90,17.48,1045.00,1045.00,2025-07-16 04:11:40,2025-07-16 04:21:41,b44b23bd-fa45-41fc-ad46-1093ef57e668
-7.03,1.99,-10.38,240,205000.00,5200000.00,1000000.00,8.45,21.60,1185.00,1185.00,2025-07-16 04:23:14,2025-07-16 04:33:14,2bc5a3de-5b3a-4b1a-9915-2a5320f70871
-3.64,3.64,-9.84,240,91000.00,5200000.00,702000.00,1.15,52.70,527.00,527.00,2025-07-16 04:34:49,2025-07-16 04:44:50,f4c9c3ff-0de9-4b82-86d9-89740e9d59d3
3.81,19.71,-25.22,120,55000.00,269000.00,553000.00,8.39,117.00,442.00,442.00,2025-07-16 04:46:23,2025-07-16 04:56:24,99944154-cbd2-4a97-ab60-f9eb519f9c86
-1.71,40.48,-13.04,120,61000.00,329000.00,585000.00,22.62,116.00,563.00,563.00,2025-07-16 04:57:56,2025-07-16 05:07:57,f330020a-5f0c-412d-97d4-fda297e095ef
-16.34,2.74,-43.18,44,64000.00,334000.00,773000.00,-5.47,394.00,394.00,394.00,2025-07-16 05:09:29,2025-07-16 05:19:29,f963686c-4055-4123-8aac-bd796bb8069a
-3.75,17.46,-5.22,120,72000.00,312000.00,4600000.00,23.40,26.83,362.00,362.00,2025-07-16 05:21:03,2025-07-16 05:31:04,85387c75-e97e-40f7-b9b1-168e9b94ac8f
29.42,29.88,0.00,120,67000.00,273000.00,4700000.00,-3.89,-0.33,305.00,305.00,2025-07-16 05:32:39,2025-07-16 05:42:39,9dbe45f4-7ed1-4ddd-8328-2cdd821d819d
39.95,90.36,-9.50,37,183000.00,2100000.00,5400000.00,97.86,3029.00,3029.00,3029.00,2025-07-16 05:45:23,2025-07-16 05:55:23,4eb4f5d3-6dca-418b-ab75-53b09e20fc83
12.70,20.62,-13.68,48,245000.00,3500000.00,8000000.00,-2.84,5116.00,5116.00,5116.00,2025-07-16 05:56:56,2025-07-16 06:06:57,612cf21c-1748-4755-95d1-7acd1e0061fd
-12.48,1.54,-15.82,1440,385000.00,7100000.00,11500000.00,8.37,65.77,222.00,90.83,2025-07-16 06:08:31,2025-07-16 06:18:32,c7ab6e6a-fa43-4a7e-9214-ec89efdbd708
16.56,18.41,-4.26,120,55000.00,236000.00,1100000.00,1.90,12.37,218.00,218.00,2025-07-16 06:20:17,2025-07-16 06:30:17,40bf7097-32f4-41d3-b432-1d2116a95653
145.37,175.51,-22.98,20,70000.00,374000.00,1200000.00,53.64,445.00,445.00,445.00,2025-07-16 06:31:50,2025-07-16 06:41:51,45bc137d-be81-4adc-bcd4-277b3bbb67d8
-35.04,17.51,-42.06,31,104000.00,786000.00,2000000.00,-2.93,1045.00,1045.00,1045.00,2025-07-16 06:43:25,2025-07-16 06:53:25,59d93fcc-ce46-4696-827d-bd6efbe82776
5.89,13.07,-0.69,120,60000.00,285000.00,1300000.00,10.58,32.77,284.00,284.00,2025-07-16 06:55:00,2025-07-16 07:05:01,b4ade66f-382f-48e7-aa9c-ceefde1f1255
-36.05,3.43,-40.22,1440,247000.00,3300000.00,9100000.00,6.10,89.83,220.00,124.00,2025-07-16 07:06:34,2025-07-16 07:16:35,a6e7c1e6-dfab-4366-a31c-de58e0755c5c
7.17,10.11,-13.55,56,54000.00,244000.00,474000.00,16.65,232.00,232.00,232.00,2025-07-16 07:18:09,2025-07-16 07:28:10,f7432fd5-0355-44bf-a0bc-8dbeacd88407
-3.03,8.26,-10.93,60,57000.00,266000.00,578000.00,9.03,128.00,262.00,262.00,2025-07-16 07:29:43,2025-07-16 07:39:43,974181aa-3f98-4f50-9339-c026853a156b
-59.97,18.20,-59.97,17,73000.00,451000.00,286000.00,37.79,517.00,517.00,517.00,2025-07-16 07:41:17,2025-07-16 07:51:17,fd8a8d2d-a191-4ecf-a042-08240a76bf3f
-7.57,13.60,-9.94,1440,245000.00,3400000.00,10800000.00,6.20,33.42,316.00,168.00,2025-07-16 07:52:51,2025-07-16 08:02:51,220fd2dd-9a84-4f95-aa1d-86e3890b6857
-39.34,11.30,-41.14,1440,58000.00,232000.00,1200000.00,13.82,173.00,532.00,171.00,2025-07-16 08:05:35,2025-07-16 08:15:35,3ccfd706-4b29-4818-9504-71cf43550d31
-20.70,0.00,-31.05,48,84000.00,501000.00,1900000.00,16.09,585.00,585.00,585.00,2025-07-16 08:17:09,2025-07-16 08:27:09,3345fd71-9981-46fb-9b79-03e0f3c87ace
-11.17,0.28,-11.98,1440,126000.00,1000000.00,2500000.00,4.22,23.16,218.00,153.00,2025-07-16 08:28:50,2025-07-16 08:38:51,c030e9c2-47dd-4ab5-bbbf-376f166fdf7a
24.14,24.14,0.00,180,64000.00,2300000.00,1500000.00,5.66,117.00,118.00,118.00,2025-07-16 08:40:24,2025-07-16 08:50:24,1b112568-adc1-4c2e-832a-a5a9392b6934
-31.62,1.09,-34.68,180,64000.00,2400000.00,1500000.00,-0.76,42.38,133.00,133.00,2025-07-16 08:51:58,2025-07-16 09:01:58,fa5b4eab-b6fe-4163-bbf8-10ec8700c299
7.60,12.15,-0.88,180,42000.00,147000.00,555000.00,2.71,11.85,113.00,113.00,2025-07-16 09:03:31,2025-07-16 09:13:32,d6e6f1cd-6588-4e4f-b8ec-d421b92ee1c9
33.29,44.07,0.00,180,44000.00,159000.00,559000.00,5.56,36.47,130.00,130.00,2025-07-16 09:15:05,2025-07-16 09:25:05,a344b7fe-13cd-4d91-b204-e337364ef45f
9.28,11.15,0.00,1440,446000.00,45500000.00,6900000.00,-1.24,-8.32,46.18,154.00,2025-07-16 09:26:40,2025-07-16 09:36:40,7d2d8377-6b54-4d8b-af60-d43eb2925f54
-7.97,2.37,-8.26,1440,124000.00,1000000.00,2700000.00,6.59,8.90,197.00,119.00,2025-07-16 09:38:14,2025-07-16 09:48:14,0ad91968-7de3-47cb-af37-c9eb9e8033a6
